"Harry Potter and the Half-Blood Prince (Harry Potter #6)",4.57,2006-09-16
"Harry Potter and the Order of the Phoenix (Harry Potter #5)",4.49,2004-09-01
"Harry Potter and the Chamber of Secrets (Harry Potter #2)",4.42,2003-11-01
"Harry Potter and the Prisoner of Azkaban (Harry Potter #3)",4.56,2004-05-01
"Harry Potter Boxed Set Books 1-5 (Harry Potter #1-5)",4.78,2004-09-13
"Harry Potter Collection (Harry Potter #1-6)",4.73,2005-09-12
"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy #1-5)",4.38,2005-11-01
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5)",4.38,2002-04-30
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1)",4.22,2004-08-03
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1)",4.22,2005-03-23
