"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation","W. Frederick Zimmerman",152,3.74
"Bill Bryson's African Diary","Bill Bryson",55,3.44
"Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right","Bill Bryson",256,3.87
"I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away","Bill Bryson",304,3.90
"The Lost Continent: Travels in Small Town America","Bill Bryson",299,3.83
"Neither Here nor There: Travels in Europe","Bill Bryson",254,3.86
"Notes from a Small Island","Bill Bryson",324,3.91
"The Mother Tongue: English and How It Got That Way","Bill Bryson",270,3.93
"Agile Web Development with Rails: A Pragmatic Guide","Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas Fuchs/Andreas Schwarz",558,3.84
"Hatchet (Brian's Saga #1)","Gary Paulsen",208,3.72
"Guts: The True Stories behind Hatchet and the Brian Books","Gary Paulsen",144,3.88
"Hatchet Jobs: Writings on Contemporary Fiction","Dale Peck",228,3.45
"A Changeling for All Seasons (Changeling Seasons #1)","Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati",304,3.76
"Changeling (Changeling #1)","Delia Sherman",256,3.60
"The Changeling","Kate Horsley",339,3.55
"The Changeling (Daughters of England #15)","Philippa Carr",369,3.98
"The Known World","Edward P. Jones",388,3.83
"The Known World","Edward P. Jones/Kevin R. Free",14,3.83
"The Known World","Edward P. Jones",576,3.83
"Traders Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives","Satyajit Das",334,3.83
